hillnumber,hillname,name_kw,source_kw,region,parent,classification,metres,feet,gridref,bigsquareX,Easting,bigsquareY,Northing,gridref10,colgridref,colheight,drop,feature,observations,survey,revision,comments,map50,map25,xcoord,ycoord,latitude,longitude,country,climbed,tumponly,Ma,Ma=,Hu,Hu=,M,MT,Mur,F,C,CT,CTM,CTC,G,GT,GTM,GTC,GTG,GTH,D,DT,DN,Hew,N,Dil,VL,A,Tu,Sim,5,5D,5H,5M,4,3,2,1,0,sMa,sHu,sMur,sCT,sGT,sHew,s5,s5D,s5H,s5M,s4,W,WO,B,Sy,Fel,CoH,CoU,CoA,CoL,SIB,xMT,xC,xG,xN,xDT,O,Un,BL,Bg,Ca,Bin,T100,P600,P500
17886,Chapel Down (St Martin's),Goon Chapel,T,40,,"0,SIB",48,157,SV941160,0,094100,0,016000,SV 94179 16099,Sea,,48,tower,trig point c 10m NE is probably lower,,2012-01-20,,203,101,94176,16092,49.96645,-6.266285,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17910,Great Ganilly,Goon Hyli Meur,T/W,40,,"0,SIB",34,112,SV945145,0,094500,0,014500,,Sea,,34,,,,2012-01-20,,203,101,94500,14500,49.952341,-6.260512,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18759,The Brisons,,,40,,0,33,108,SW340311,1,134000,0,031100,,Sea,,33,,,,2014-10-30,New Tump July 2013,203,102,134000,31100,50.120227,-5.72265,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17619,Carn Brea,Karn Bre,T/W,40,2887,1,198,650,SW385280,1,138500,0,028000,SW 38595 28075,SW389283,168,30,ground by ruins,,,2014-03-21,,203,102,138592,28068,50.095054,-5.656476,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17581,Bartinney Downs,Bre Teni,W,40,2887,2,224,735,SW394293,1,139400,0,029300,,SW395300,173,51,,,,2012-01-20,,203,102,139400,29300,50.106466,-5.646041,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17582,Boswens Common,,,40,2887,2,224,735,SW401325,1,140100,0,032500,SW 40147 32595,SW409343,182,42,boulder,boulder 35m NE at SW 40178 32612 may be as high,,2015-02-14,,203,102,140144,32588,50.136305,-5.637898,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17595,Deveral Common,,,40,2887,2,216,709,SW403311,1,140300,0,031100,,SW406317,186,30,,,,2012-01-20,,203,102,140300,31100,50.123016,-5.634705,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2887,Watch Croft [White Downs],Karnen Bygh,W,40,,"Ma,2",253,830,SW420357,1,142000,0,035700,SW 42047 35703,SW546337,27,226,rock tor 25m SW of trig point,trig point at SW 42065 35722 is 90cm lower,Abney level,2013-02-02,,203,102,142044,35696,50.165031,-5.613469,E,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17585,Mulfra Hill,Molvre,W,40,2887,2,221,725,SW450354,1,145000,0,035400,SW 45080 35456,SW450362,189,32,rock,flat summit area,,2015-02-14,,203,102,145077,35449,50.164126,-5.570921,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17784,Chyenhal Moor,,,40,2887,1,116,381,SW453273,1,145300,0,027300,SW 45312 27348,SW440283,81,35,mound on S side of road,,,2012-01-20,,203,102,145309,27341,50.091446,-5.562266,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17567,Trendrine Hill,Karn Munys,W,40,2887,2,247,810,SW478387,1,147800,0,038700,,SW444353,184,63,,,,2012-01-20,,203,102,147800,38700,50.194472,-5.535023,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17578,Rosewall Hill,,,40,2887,2,227,745,SW487391,1,148700,0,039100,,SW487382,159,68,,,,2012-01-20,,203,102,148700,39100,50.198445,-5.522702,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17596,Trink Hill,,,40,2887,2,212,696,SW504371,1,150400,0,037100,,SW492380,150,62,,,,2012-01-20,,203,102,150400,37100,50.181211,-5.497615,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17883,St Michael's Mount,Karrek Loos y'n Koos,W,40,,"0,SIB",61,200,SW514298,1,151400,0,029800,,Sea,,61,,,,2014-12-12,,203,102,151400,29800,50.116099,-5.478874,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17666,Knill's Monument,,,40,2887,1,170,558,SW516386,1,151600,0,038600,SW 51634 38672,SW507380,133,37,ground at base of monument,,,2012-01-20,,203,102,151631,38665,50.19578,-5.48143,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17615,Trencrom Hill,Torr Krobm,W,40,2887,1,176,577,SW518362,1,151800,0,036200,SW 51807 36230,SW513364,129,47,rock tor,,,2015-02-14,,203,102,151804,36223,50.17393,-5.477416,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17866,St Ives Bay Sands,,,40,2886,0,72,236,SW569393,1,156900,0,039300,,,39,33,,,,2012-01-20,,203,102,156900,39300,50.203665,-5.408147,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17683,Godolphin Hill,Karn Godholkan,W,40,2886,1,162,531,SW592312,1,159200,0,031200,SW 59227 31283,SW594306,124,38,northernmost of two boulders,,,2012-01-20,,203,102,159224,31276,50.132578,-5.370563,E,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15584,Grassholm Island,,,31C,,"0,SIB",42,138,SM598093,1,159800,2,209300,,Sea,,42,,,,2012-12-05,two 42m spot heights on the island,157,36W,159800,209300,51.73027,-5.47888,W,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5412,Tregonning Hill,Pennker,W,40,2886,"Hu,1",194,636,SW599300,1,159900,0,030000,SW 59926 30048,SW616302,92,102,trig point,rock about 8m N of war memorial at SW 59906 30070 may be highest point,,2010-03-28,,203,102,159923,30041,50.121773,-5.360022,E,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18757,Crane Island,,,40,,"0,SIB",31,102,SW633441,1,163300,0,044100,,Sea,,31,,,,2013-07-25,New Tump July 2013,203,104,163300,44100,50.249356,-5.321614,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
